DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200104954,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,2210,01,Central,0134,2,624,BATTERY - SIMPLE ASSAULT,2001 0429 0416 1822,21,F,H,706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 W  4TH                          ST,,34.0502,-118.2487
200104955,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,0230,01,Central,0174,2,624,BATTERY - SIMPLE ASSAULT,0361 0416 0448 0408 0913,21,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 S  MAIN                         ST,,34.0439,-118.2514
210917205,12/03/2021 12:00:00 AM,10/15/2020 12:00:00 AM,1135,09,Van Nuys,0946,2,354,THEFT OF IDENTITY,1822 0927,29,M,H,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,5800    WOODMAN                      AV,,34.1745,-118.4356
200104959,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,0100,01,Central,0163,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 2032,24,F,W,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,700 S  BROADWAY,,34.0452,-118.2534
201714567,10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,0600,17,Devonshire,1794,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 2004 0329,31,M,H,103,ALLEY,,,AO,Adult Other,745,,,,CHASE                        ST,RESEDA                       BL,34.2246,-118.5361
200104960,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,2330,01,Central,0161,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0401 0408 0448 1813 2000,18,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200104962,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1430,01,Central,0156,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,0,X,X,101,STREET,,,IC,Invest Cont,420,,,,300 E  5TH                          ST,,34.0449,-118.2458
200104963,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1630,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 1822 0377 1221 0344 2032,62,F,H,404,DEPARTMENT STORE,,,IC,Invest Cont,440,,,,700 W  7TH                          ST,,34.048,-118.2577
200104964,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1830,01,Central,0129,1,330,BURGLARY FROM VEHICLE,1307 0329 0344 1609 0321,36,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,TEMPLE                       ST,VIGNES                       ST,34.0502,-118.2336
200104971,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1900,01,Central,0101,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 N  BEAUDRY                      AV,,34.0674,-118.2468
200104972,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,0953,01,Central,0159,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,946,998,,,1300    WHOLESALE                    ST,,34.0365,-118.2364
200104974,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,0530,01,Central,0129,1,330,BURGLARY FROM VEHICLE,1307 1609 0329 1822 0344,27,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,JACKSON,VIGNES,34.0511,-118.2334
200104975,01/14/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1100,01,Central,0162,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,19,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,800 S  HILL                         ST,,34.0462,-118.2585
200104977,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,0820,01,Central,0135,2,625,OTHER ASSAULT,0416,61,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,3RD                          ST,MAIN                         ST,34.0496,-118.2458
211715705,11/16/2021 12:00:00 AM,02/19/2020 12:00:00 AM,1200,17,Devonshire,1747,2,354,THEFT OF IDENTITY,0929,30,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16700    CHATSWORTH                   ST,,34.2647,-118.4959
200104982,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1400,01,Central,0195,2,860,BATTERY WITH SEXUAL CONTACT,0448 0522 0216 2004,28,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,HILL                         ST,WASHINGTON                   BL,34.032,-118.2657
201822046,12/13/2020 12:00:00 AM,12/12/2020 12:00:00 AM,2300,18,Southeast,1846,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0416 0913,35,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1400 E  114TH                        ST,,33.9311,-118.2493
200104990,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1630,01,Central,0132,2,624,BATTERY - SIMPLE ASSAULT,2004 1822 0416 0417 0401 0319 0429 1266 0910 1414,27,M,B,916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,100 S  HILL                         ST,,34.0547,-118.2505
200104991,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1730,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200104992,01/14/2020 12:00:00 AM,01/12/2020 12:00:00 AM,0100,01,Central,0164,1,210,ROBBERY,0416 0337 0334 0443 1822 0344 0377,31,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,,,,6TH                          ST,LOS ANGELES,34.0446,-118.249
200104993,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1630,01,Central,0132,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 2004 0910 1266,50,M,H,916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,100 S  HILL                         ST,,34.0547,-118.2505
200104994,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,0100,01,Central,0162,1,210,ROBBERY,2004 0416 0344 0945 1822,0,X,X,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,600 W  9TH                          ST,,34.0462,-118.2585
210619887,11/29/2021 12:00:00 AM,09/27/2020 12:00:00 AM,0001,06,Hollywood,0678,2,354,THEFT OF IDENTITY,1822 0929,56,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 N  OXFORD                       AV,,34.0845,-118.3078
200104997,01/10/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1300,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0356 1218 0446 0913,32,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,300 E  5TH                          ST,,34.0449,-118.2458
202018863,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,2114,20,Olympic,2038,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0340 0342 1402 1407 1100 0430 0202 0906,22,M,H,102,SIDEWALK,102,HAND GUN,AO,Adult Other,230,998,,,600    SHATTO                       PL,,34.0605,-118.2903
210619979,12/05/2021 12:00:00 AM,03/14/2020 12:00:00 AM,1615,06,Hollywood,0639,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1800 N  KINGSLEY                     DR,,34.1038,-118.3035
200105001,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1950,01,Central,0164,1,761,BRANDISH WEAPON,0334 1822 0340,21,M,O,244,TOBACCO SHOP,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761,,,,100 W  7TH                          ST,,34.0446,-118.2507
200105005,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,0001,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2002 1206 2033 0913,26,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,626,,,,7TH                          ST,GRAND,34.0473,-118.2566
200105006,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1130,01,Central,0191,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0910 1307 1822,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,FIGUEROA,WASHINGTON,34.0344,-118.2714
200814436,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1100,08,West LA,0885,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10200    CRESTA                       DR,,34.0417,-118.4041
200105008,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1640,01,Central,0132,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0910 2032 1822,0,M,O,901,MTA - RED LINE - CIVIC CENTER/GRAND PARK,,,IC,Invest Cont,440,,,,100 S  HILL                         ST,,34.0547,-118.2505
200312841,06/18/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1930,03,Southwest,0363,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3800    SOMERSET                     DR,,34.0172,-118.3374
200105010,01/14/2020 12:00:00 AM,01/12/2020 12:00:00 AM,0800,01,Central,0157,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 1822 2032,41,F,B,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,440,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
200510203,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,0150,05,Harbor,0584,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2600 S  CABRILLO                     AV,,33.7206,-118.2946
200118692,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,0410,01,Central,0185,1,210,ROBBERY,0344 0334 1311 1302 1822 1218 0302 1309 2024 0916,29,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,210,,,,BROADWAY,PICO,34.0377,-118.2607
200406105,02/24/2020 12:00:00 AM,02/11/2020 12:00:00 AM,0230,04,Hollenbeck,0479,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0400 0416 0417 0429,27,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230,,,,3500    PERCY                        ST,,34.0277,-118.1978
200105014,01/14/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1430,01,Central,0163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,24,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,740,,,,300 W  8TH                          ST,,34.0438,-118.2547
200105015,01/14/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1200,01,Central,0156,2,354,THEFT OF IDENTITY,0377,0,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500    SAN JULIAN                   ST,,34.0446,-118.245
200105019,01/15/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1150,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822 0321 1414 1402,29,M,H,101,STREET,,,IC,Invest Cont,330,998,,,1000 S  GRAND                        AV,,34.043,-118.2606
200105023,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1000,01,Central,0129,1,330,BURGLARY FROM VEHICLE,1307 0344 1822 1609 0329 0386,28,M,W,152,UNDERPASS/BRIDGE*,,,IC,Invest Cont,330,,,,E  1ST                          ST,S  SANTA FE                     AV,34.0483,-118.2326
200105026,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1910,01,Central,0132,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344 1822,22,M,K,102,SIDEWALK,,,IC,Invest Cont,341,,,,100 S  GRAND                        AV,,34.0557,-118.2488
200105027,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1445,01,Central,0162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0397 0344 1602 1822,59,M,W,102,SIDEWALK,,,IC,Invest Cont,341,,,,800 S  OLIVE                        ST,,34.0452,-118.2569
200105028,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,0045,01,Central,0171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,33,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,341,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105029,01/14/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1310,01,Central,0111,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1822,27,F,C,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341,,,,900 N  BROADWAY,,34.0615,-118.2412
200105030,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1300 0358 0344 1307,31,M,O,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,330,,,,1200 S  GRAND                        AV,,34.0402,-118.2633
200105033,01/15/2020 12:00:00 AM,01/14/2020 12:00:00 AM,2015,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329 0377,56,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,1200 S  GRAND                        AV,,34.0402,-118.2633
200105035,01/15/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1915,01,Central,0139,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 1822 0394 1414,60,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,900 E  3RD                          ST,,34.0459,-118.2351
200105036,01/15/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1030,01,Central,0112,2,860,BATTERY WITH SEXUAL CONTACT,0448 0522 1202 1822,61,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,400 N  MAIN                         ST,,34.0554,-118.2404
200105041,01/14/2020 12:00:00 AM,01/10/2020 12:00:00 AM,2000,01,Central,0182,1,350,"THEFT, PERSON",0305 0344 0326 0346 1309,31,F,K,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,GRAND                        AV,11TH                         ST,34.0416,-118.262
200105042,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1120,01,Central,0158,2,850,INDECENT EXPOSURE,0529,24,M,B,101,STREET,,,IC,Invest Cont,850,,,,CENTRAL                      AV,7TH                          ST,34.0368,-118.2412
200105047,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1200,01,Central,0158,2,624,BATTERY - SIMPLE ASSAULT,0446 1218,30,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 E  6TH                          ST,,34.0408,-118.2428
200105051,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0230,01,Central,0162,1,210,ROBBERY,0377 0319 0344 0416 1822,36,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,7TH,OLIVE,34.0473,-118.2566
201115511,11/07/2020 12:00:00 AM,11/07/2020 12:00:00 AM,1715,11,Northeast,1184,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,0,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740,998,,,SUNSET                       BL,ECHO PARK,34.0768,-118.2574
200105054,01/15/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1700,01,Central,0192,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0377 0321 0344,32,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,400 W  PICO                         BL,,34.0389,-118.2643
200105055,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1845,01,Central,0154,1,220,ATTEMPTED ROBBERY,0906 1218 1536 0371 0443 0370 0312 1822 0334 0355,50,M,B,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,220,,,,6TH,MAIN,34.0446,-118.249
200105056,01/15/2020 12:00:00 AM,01/02/2020 12:00:00 AM,0720,01,Central,0195,1,330,BURGLARY FROM VEHICLE,1307 1822 0329 1609 0344,43,M,H,101,STREET,,,IC,Invest Cont,330,,,,16TH,SANTEE,34.0324,-118.2605
200105057,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,2350,01,Central,0182,1,761,BRANDISH WEAPON,2036 2031 0334 1266 1822,24,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,900 S  OLIVE                        ST,,34.0437,-118.2582
221205529,01/28/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0005,12,77th Street,1259,1,121,"RAPE, FORCIBLE",1251 1258 0913 0556 0500 0526,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,800 E  77TH                         ST,,33.9694,-118.2608
200117954,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1245,01,Central,0163,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0443 0344,25,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,700 S  BROADWAY,,34.0444,-118.2541
200105062,01/16/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1434,01,Central,0152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,0,M,O,710,OTHER PREMISE,511,VERBAL THREAT,IC,Invest Cont,930,,,,600 S  OLIVE                        ST,,34.0481,-118.2542
200105066,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1825,01,Central,0119,2,624,BATTERY - SIMPLE ASSAULT,0416 1266 1822 0910,28,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
200105067,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1358,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200105068,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0630,01,Central,0146,1,210,ROBBERY,0377 1202 1822 1218 2004 1268 0416 0344,66,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH                          ST,WALL                         ST,34.0449,-118.2458
200105069,01/15/2020 12:00:00 AM,01/14/2020 12:00:00 AM,2200,01,Central,0192,1,330,BURGLARY FROM VEHICLE,0344 1606,0,X,X,101,STREET,,,IC,Invest Cont,330,,,,W  15TH                         ST,S  HILL                         ST,34.0354,-118.264
211915756,11/17/2021 12:00:00 AM,07/17/2020 12:00:00 AM,1645,19,Mission,1966,2,860,BATTERY WITH SEXUAL CONTACT,0448 0913 1817 0603,65,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,9200    VAN NUYS                     BL,,34.2375,-118.4502
200911119,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,2300,09,Van Nuys,0906,1,330,BURGLARY FROM VEHICLE,0344,37,M,O,101,STREET,,,IC,Invest Cont,330,,,,14200    LEADWELL                     ST,,34.2041,-118.4425
200105073,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1230,01,Central,0159,1,330,BURGLARY FROM VEHICLE,1307 0344,37,F,W,101,STREET,,,IC,Invest Cont,330,,,,E  4TH                          PL,S  SANTA FE                     AV,34.0414,-118.2319
200105074,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,2200,01,Central,0165,1,330,BURGLARY FROM VEHICLE,1307 0344,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,E  7TH                          ST,S  LOS ANGELES                  ST,34.0424,-118.2493
200105075,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0315,01,Central,0147,1,761,BRANDISH WEAPON,0913 1218 1268 2004 0334,52,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,OTHER KNIFE,IC,Invest Cont,761,,,,400 E  5TH                          ST,,34.0453,-118.2443
200105082,01/16/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1500,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1800    INDUSTRIAL                   ST,,34.0359,-118.2344
200105087,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1100,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,40,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
200105088,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1520,01,Central,0185,2,860,BATTERY WITH SEXUAL CONTACT,0448 0522,33,F,H,405,CLOTHING STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,1000    MAPLE                        AV,,34.0388,-118.2574
200105090,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1830,01,Central,0164,1,330,BURGLARY FROM VEHICLE,1609 0344,22,F,W,102,SIDEWALK,,,IC,Invest Cont,330,,,,600 S  LOS ANGELES                  ST,,34.0446,-118.2507
200105092,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1445,01,Central,0152,1,220,ATTEMPTED ROBBERY,1822 0391 1403 1405 1414 1420,0,M,X,602,BANK,504,DEMAND NOTE,IC,Invest Cont,220,998,,,700    WILSHIRE                     BL,,34.0487,-118.2571
200105094,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0900,01,Central,0161,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0354 1202,74,M,K,717,HEALTH SPA/GYM,,,IC,Invest Cont,341,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200105095,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0800,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  BUNKER HILL                  AV,,34.0637,-118.244
200217828,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,1615,02,Rampart,0269,1,761,BRANDISH WEAPON,1822 0216 0334 0421,41,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,761,930,,,700 S  UNION                        AV,,34.0535,-118.2714
200105097,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1515,01,Central,0152,2,860,BATTERY WITH SEXUAL CONTACT,1822 2048 1259 0910 0448 0522 0305,16,F,H,931,MTA - BLUE LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,600 S  FIGUEROA                     ST,,34.0509,-118.2585
200105099,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1115,01,Central,0166,2,888,TRESPASSING,0913,45,F,B,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,888,,,,600    WALL                         ST,,34.0435,-118.2471
200105100,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0001,01,Central,0158,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 0416 1310 0344,64,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,420,,,,CENTRAL,WILDE,34.0381,-118.2401
200105101,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1310,01,Central,0124,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0913 0378 0344 2028,51,F,W,403,DRUG STORE,,,IC,Invest Cont,442,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2432
200317330,09/14/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2000,03,Southwest,0327,1,480,BIKE - STOLEN,0344 1251 1822,24,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1200 W  ADAMS                        BL,,34.0328,-118.2865
200105103,01/16/2020 12:00:00 AM,01/13/2020 12:00:00 AM,0650,01,Central,0111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344,30,F,A,101,STREET,,,IC,Invest Cont,440,,,,600 N  BROADWAY,,34.0586,-118.2402
200500577,03/10/2020 12:00:00 AM,03/10/2020 12:00:00 AM,1900,05,Harbor,0503,2,888,TRESPASSING,1309 1402,53,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,998,,,800 W  255TH                        ST,,33.7928,-118.2904
200112245,05/28/2020 12:00:00 AM,05/27/2020 12:00:00 AM,0100,01,Central,0141,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0352 1218 0344,59,M,B,508,FRAT HOUSE/SORORITY/DORMITORY,,,IC,Invest Cont,440,,,,300 S  FIGUEROA                     ST,,34.0542,-118.2566
201411997,05/14/2020 12:00:00 AM,04/10/2020 12:00:00 AM,1310,14,Pacific,1433,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2040 2041 1906,0,X,X,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,1900    WALGROVE                     AV,,33.9984,-118.4527
